Title	EN	DE	DE sentence_id
Lit_MagicMountain	The Magic Mountain - Foreword	Der Zauberberg - Vorsatz	0
Lit_MagicMountain	The story of Hans Castorp, which we would here set forth, not on his own account, for in him the reader will make acquaintance with a simple-minded though pleasing young man, but for the sake of the story itself, which seems to us highly worth telling — though it must needs be borne in mind, in Hans Castorp’s behalf, that it is his story, and not every story happens to everybody — this story, we say, belongs to the long ago; is already, so to speak, covered with historic mould, and unquestionably to be presented in the tense best suited to a narrative out of the depth or the past.	Die Geschichte Hans Castorps, die wir erzählen wollen, – nicht um seinetwillen (denn der Leser wird einen einfachen, wenn auch ansprechenden jungen Menschen in ihm kennenlernen), sondern um der Geschichte willen, die uns in hohem Grade erzählenswert scheint (wobei zu Hans Castorps Gunsten denn doch erinnert werden sollte, daß es seine Geschichte ist, und daß nicht jedem jede Geschichte passiert): diese Geschichte ist sehr lange her, sie ist sozusagen schon ganz mit historischem Edelrost überzogen und unbedingt in der Zeitform der tiefsten Vergangenheit vorzutragen.	0
Lit_MagicMountain	That should be no drawback to a story, but rather the reverse. Since histories must be in the past, then the more past the better, it would seem, for them in their character as histories, and for him, the teller of them, rounding wizard of times gone by. With this story, moreover, it stands as it does to-day with human beings, not least among them writers of tales: it is far older than its years; its age may not be measured by length of days, nor the weight of time on its head reckoned by the rising or setting of suns. In a word, the degree of its antiquity has noways to do with the passage of time — in which statement the author intentionally touches upon the strange and questionable double nature of that riddling element.	Das wäre kein Nachteil für eine Geschichte, sondern eher ein Vorteil; denn Geschichten müssen vergangen sein, und je vergangener, könnte man sagen, desto besser für sie in ihrer Eigenschaft als Geschichten und für den Erzähler, den raunenden Beschwörer des Imperfekts. Es steht jedoch so mit ihr, wie es heute auch mit den Menschen und unter diesen nicht zum wenigsten mit den Geschichtenerzählern steht: sie ist viel älter als ihre Jahre, ihre Betagtheit ist nicht nach Tagen, das Alter, das auf ihr liegt, nicht nach Sonnenumläufen zu berechnen; mit einem Worte: sie verdankt den Grad ihres Vergangenseins nicht eigentlich der Zeit, – eine Aussage, womit auf die Fragwürdigkeit und eigentümliche Zwienatur dieses geheimnisvollen Elementes im Vorbeigehen angespielt und hingewiesen sei.	1,2
Lit_MagicMountain	But we would not wilfully obscure a plain matter. The exaggerated pastness of our narrative is due to its taking place before the epoch when a certain crisis shattered its way through life and consciousness and left a deep chasm behind. It takes place — or, rather, deliberately to avoid the present tense, it took place, and had taken place — in the long ago, in the old days, the days of the world before the Great War, in the beginning of which so much began that has scarcely yet left off beginning. Yes, it took place before that; yet not so long before. Is not the pastness of the past the profounder, the completer, the more legendary, the more immediately before the present it falls? More than that, our story has, of its own nature, something of the legend about it now and again.	Um aber einen klaren Sachverhalt nicht künstlich zu verdunkeln: die hochgradige Verflossenheit unserer Geschichte rührt daher, daß sie vor einer gewissen, Leben und Bewußtsein tief zerklüftenden Wende und Grenze spielt ... Sie spielt, oder, um jedes Präsens geflissentlich zu vermeiden, sie spielte und hat gespielt vormals, ehedem, in den alten Tagen, der Welt vor dem großen Kriege, mit dessen Beginn so vieles begann, was zu beginnen wohl kaum schon aufgehört hat. Vorher also spielt sie, wenn auch nicht lange vorher. Aber ist der Vergangenheitscharakter einer Geschichte nicht desto tiefer, vollkommener und märchenhafter, je dichter „vorher“ sie spielt? Zudem könnte es sein, daß die unsrige mit dem Märchen auch sonst, ihrer inneren Natur nach, das eine und andre zu schaffen hat.	3,4,5
Lit_MagicMountain	We shall tell it at length, thoroughly, in detail - for when did a narrative seem too long or too short by reason of the actual time or space it took up? We do not fear being called meticulous, inclining as we do to the view that only the exhaustive can be truly interesting.	Wir werden sie ausführlich erzählen, genau und gründlich, – denn wann wäre je die Kurz- oder Langweiligkeit einer Geschichte abhängig gewesen von dem Raum und der Zeit, die sie in Anspruch nahm? Ohne Furcht vor dem Odium der Peinlichkeit, neigen wir vielmehr der Ansicht zu, daß nur das Gründliche wahrhaft unterhaltend sei.	6
Lit_MagicMountain	Not all in a minute, then, will the narrator be finished with the story of our Hans. The seven days of a week will not suffice, no, nor seven months either. Best not too soon make too plain how much mortal time must pass over his head while he sits spun round in his spell. Heaven forbid it should be seven years!	Im Handumdrehen also wird der Erzähler mit Hansens Geschichte nicht fertig werden. Die sieben Tage einer Woche werden dazu nicht reichen und auch sieben Monate nicht. Am besten ist es, er macht sich im voraus nicht klar, wieviel Erdenzeit ihm verstreichen wird, während sie ihn umsponnen hält. Es werden, in Gottes Namen, ja nicht geradezu sieben Jahre sein!	7,8,9
Ins_LearningMobility	REPORT FROM THE COMMISSION TO THE COUNCIL: Progress report on a Learning Mobility Benchmark	BERICHT DER KOMMISSION AN DEN RAT: Fortschrittsbericht über eine Benchmark für die Lernmobilität	0
Ins_LearningMobility	1. INTRODUCTION	1. EINFÜHRUNG	0,1
Ins_LearningMobility	The recent Commission Communication on Investing in Europe's Youth highlights the positive impact of learning mobility on employability and active citizenship. Learning, studying and training in another country is a unique experience and can open up new horizons. Skills gained during a mobility experience, such as problem-solving, adaptability, tolerance and confidence are valued by employers and essential for today's society.	In der jüngsten Mitteilung der Kommission „Investieren in Europas Jugend“ werden die positiven Auswirkungen der Lernmobilität auf Beschäftigungsfähigkeit und bürgerschaftliches Engagement hervorgehoben. In einem anderen Land zu lernen, zu studieren oder einer Ausbildung nachzugehen, ist eine einzigartige Erfahrung und kann neue Perspektiven eröffnen. Die Kompetenzen, die im Rahmen einer Mobilitätserfahrung erworben werden, etwa Problemlösungs- und Anpassungsfähigkeit sowie Toleranz und Zuversicht, werden von Arbeitgebern geschätzt und sind in der heutigen Gesellschaft unentbehrlich.	0,1,2
Ins_LearningMobility	The Commission encourages learning mobility of young people through its policies and programmes, including a dedicated benchmark and support from the Erasmus+ programme.	Die Kommission fördert die Lernmobilität junger Menschen im Rahmen ihrer politischen Konzepte und Programme, die auch eine spezielle Benchmark und die Unterstützung durch das Programm Erasmus+ umfassen.	3
